SC,E_E_dmd_excl,theta_ex_d_t,E_p_0,E_p_1,E_p_2,E_p_3,E_E_PV_h,E_E_PV_sell,E_E_PV_chg,E_E_PSS_h,E_E_PSS_max_sup,E_E_srpl,E_E_dmd_incl,E_E_aux_PSS,E_dash_dash_E_PV_chg,E_dash_dash_E_srpl,E_dash_dash_E_SB_sup,E_E_PV_max_sup,E_E_SB_max_sup,E_dash_dash_E_PV_max_sup,E_dash_dash_E_SB_max_sup,E_E_SB_max_chg,E_E_aux_PCS
1.0,1.3984156127897622,4.4,0.4055584659294137,0.0,0.0,0.0,0.3079569191527429,0.0,0.0,0.0,0.3079569191527429,0.0,1.4264156127897623,0.028,0.0,0.0,0.0,0.3079569191527429,0.0,0.3933917119515312,0.0,0.6,0.025
1.0,0.2556736100835974,4.7,0.33983615292028707,0.0,0.0,0.0,0.24580004162436148,0.0,0.0,0.0,0.24580004162436148,0.0,0.2836736100835974,0.028,0.0,0.0,0.0,0.24580004162436148,0.0,0.3296410683326784,0.0,0.6,0.025
1.0,0.19556711785034048,4.9,0.25148177124623566,0.0,0.0,0.0,0.16223888515612733,0.0,0.0,0.0,0.16223888515612733,0.0,0.22356711785034047,0.028,0.0,0.0,0.0,0.16223888515612733,0.0,0.24393731810884856,0.0,0.6,0.025
1.0,1.6093996133599746,5.3,0.09741786749594024,0.0,0.0,0.0,0.05669719888263721,0.0,0.0,0.0,0.05669719888263721,0.0,1.6373996133599746,0.028,0.0,0.0,0.0,0.05669719888263721,0.0,0.09449533147106202,0.0,0.6,0.025
1.0,0.8957746934455391,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8997746934455391,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,2.0685839863543367,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0725839863543367,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.567870914541726,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.571870914541726,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.8154675390192376,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8194675390192376,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.4931443589896005,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4971443589896005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.7807651111602512,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7847651111602512,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.509603693717264,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513603693717264,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.715235543493325,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719235543493325,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.33877473221857934,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34277473221857935,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13871988467592594,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14271988467592595,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14651988467592594,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15051988467592595,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14651988467592594,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15051988467592595,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13871988467592594,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14271988467592595,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,2.702720707173995,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.706720707173995,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.138896341004616,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142896341004616,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.2442519648452275,6.6,0.05550049738986023,0.0,0.0,0.0,0.03230128948089865,0.0,0.0,0.0,0.03230128948089865,0.0,1.2722519648452275,0.028,0.0,0.0,0.0,0.03230128948089865,0.0,0.05383548246816442,0.0,0.6,0.025
1.0,0.8974582176999697,7.0,0.18472630549943553,0.0,0.0,0.0,0.10751070980067147,0.0,0.0,0.0,0.10751070980067147,0.0,0.9254582176999697,0.028,0.0,0.0,0.0,0.10751070980067147,0.0,0.17918451633445245,0.0,0.6,0.025
1.0,0.7940792315819611,7.7,0.24855476484539996,0.0,0.0,0.0,0.159470668852537,0.0,0.0,0.0,0.159470668852537,0.0,0.8220792315819612,0.028,0.0,0.0,0.0,0.159470668852537,0.0,0.24109812190003793,0.0,0.6,0.025
1.0,0.24557562544496087,8.0,0.20387428366233207,0.0,0.0,0.0,0.11865483309147724,0.0,0.0,0.0,0.11865483309147724,0.0,0.2735756254449609,0.028,0.0,0.0,0.0,0.11865483309147724,0.0,0.1977580551524621,0.0,0.6,0.025
1.0,1.063918012992115,8.5,0.31989960120202465,0.0,0.0,0.0,0.22694504783681474,0.0,0.0,0.0,0.22694504783681474,0.0,1.091918012992115,0.028,0.0,0.0,0.0,0.22694504783681474,0.0,0.31030261316596386,0.0,0.6,0.025
1.0,0.8974887201747979,8.8,0.31763126278440634,0.0,0.0,0.0,0.22479976677835228,0.0,0.0,0.0,0.22479976677835228,0.0,0.9254887201747979,0.028,0.0,0.0,0.0,0.22479976677835228,0.0,0.30810232490087414,0.0,0.6,0.025
1.0,0.2555946440342147,9.2,0.24891617033928132,0.0,0.0,0.0,0.15981246809837527,0.0,0.0,0.0,0.15981246809837527,0.0,0.28359464403421475,0.028,0.0,0.0,0.0,0.15981246809837527,0.0,0.24144868522910284,0.0,0.6,0.025
1.0,0.19548815180095777,9.5,0.24770421994376424,0.0,0.0,0.0,0.15866626601181497,0.0,0.0,0.0,0.15866626601181497,0.0,0.22348815180095777,0.028,0.0,0.0,0.0,0.15866626601181497,0.0,0.24027309334545127,0.0,0.6,0.025
1.0,0.884462286773984,9.8,0.11685110759133639,0.0,0.0,0.0,0.06800734461815777,0.0,0.0,0.0,0.06800734461815777,0.0,0.912462286773984,0.028,0.0,0.0,0.0,0.06800734461815777,0.0,0.11334557436359628,0.0,0.6,0.025
1.0,0.5941355839441851,9.6,0.013073258462189746,0.0,0.0,0.0,0.0076086364249944305,0.0,0.0,0.0,0.0076086364249944305,0.0,0.6221355839441851,0.028,0.0,0.0,0.0,0.0076086364249944305,0.0,0.012681060708324051,0.0,0.6,0.025
1.0,1.3712324722320162,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3752324722320162,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.2601023637248343,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2641023637248343,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.3716321803556766,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3756321803556766,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.208939002566939,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212939002566939,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.5871722221301812,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5911722221301812,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.3746365042212525,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3786365042212525,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.7153749107772756,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193749107772756,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.3388138834531473,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428138834531473,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13875903591049382,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14275903591049383,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14655903591049385,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15055903591049385,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14655903591049385,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15055903591049385,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13875903591049382,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14275903591049383,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,2.5716319396415837,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5756319396415837,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.1704053649297075,5.6,0.013212938544774145,0.0,0.0,0.0,0.007689930233058551,0.0,0.0,0.0,0.007689930233058551,0.0,1.1984053649297075,0.028,0.0,0.0,0.0,0.007689930233058551,0.0,0.012816550388430919,0.0,0.6,0.025
1.0,1.197889048456488,5.2,0.25533542174841584,0.0,0.0,0.0,0.16588347511856424,0.0,0.0,0.0,0.16588347511856424,0.0,1.225889048456488,0.028,0.0,0.0,0.0,0.16588347511856424,0.0,0.24767535909596333,0.0,0.6,0.025
1.0,0.8391984731445037,5.2,0.6598533776221001,0.0,0.0,0.0,0.548456331886101,0.0,0.0,0.0,0.548456331886101,0.0,0.8671984731445037,0.028,0.0,0.0,0.0,0.548456331886101,0.0,0.640057776293437,0.0,0.6,0.025
1.0,0.794118382816529,6.4,1.6871973042853006,0.0,0.0,0.0,0.822118382816529,0.0,0.6979484677112939,0.0,1.520066850527823,0.6979484677112939,0.822118382816529,0.028,1.3124999999999998,1.5,0.0,1.520066850527823,0.0,1.6365813851567415,0.0,2.7917938708451757,0.025
1.0,0.24561477667952875,7.2,2.2742840985006336,0.0,0.0,0.0,0.27361477667952877,0.0,1.8016894094774452,0.0,3.109632335074435,1.8016894094774452,0.27361477667952877,0.028,1.727289409477445,1.9254250353614821,0.0,2.075304186156974,1.034328148917461,2.2060555755456144,1.2823878450435497,4.599736169969836,0.025
